ID,Target,Well,Tm,Area
1,H30,A8,81.4532019704433,12.566512310523
1,H30,B8,81.4039408866995,11.9854762181867
1,N,C1,81.6009852216749,10.889807105797
1,N,D1,81.6009852216749,10.889807105797
1,RdRp,A5,80.8620689655172,12.4021309079159
1,RdRp,B5,80.8620689655172,12.4021309079159
1,S,B1,81.4532019704433,11.4482255372176
1,S,B2,81.4532019704433,11.4482255372176
2,H30,C8,81.4532019704433,12.0795870648378
2,H30,D8,81.4039408866995,12.0165668059137
2,N,A1,84.0147783251232,10.939268283661
2,N,G1,81.6009852216749,10.889807105797
2,RdRp,C5,80.8620689655172,12.4021309079159
2,RdRp,D5,80.8128078817734,10.067129408851
2,S,A3,80.5665024630542,11.709797177687
2,S,B3,80.4679802955665,14.1226430745732
3,H30,E8,81.4532019704433,12.0619618584115
3,H30,F8,81.4532019704433,11.4482255372176
3,N,F1,84.0147783251232,10.939268283661
3,N,H1,83.9655172413793,12.0350758863715
3,RdRp,E5,80.8620689655172,10.3372820150276
3,RdRp,F5,80.9113300492611,12.0259462700301
3,S,C3,80.2709359605911,13.9906066269459
3,S,D3,80.2216748768473,10.5727434337591
4,H30,G8,81.5024630541872,12.0754472345854
4,H30,H8,81.4532019704433,11.0851185385922
4,RdRp,G5,80.8620689655172,12.4021309079159
4,RdRp,H5,80.8620689655172,12.4021309079159
5,H30,A9,81.4532019704433,11.4750098260785
5,H30,B9,81.4532019704433,11.1969611694521
5,RdRp,E6,81.0098522167488,14.3869700026994
5,RdRp,F6,81.0098522167488,12.075604380188
5,S,G3,80.2216748768473,10.5727434337591
5,S,H3,80.2216748768473,14.6406116809271
6,H30,C9,81.4532019704433,11.3350008705318
6,H30,D9,81.4532019704433,11.3902288672956
6,N,A10,81.5024630541872,12.4746614419777
6,N,B10,81.4532019704433,12.3790374496108
6,RdRp,A6,81.0098522167488,12.075604380188
6,RdRp,B6,81.0098522167488,12.075604380188
6,S,C10,81.5024630541872,11.7219779232992
6,S,D10,81.5024630541872,11.3443913247583
7,H30,E9,81.4532019704433,11.0365312196502
7,H30,F9,81.4532019704433,11.2828204824143
7,N,E10,81.3054187192118,13.0880827711328
7,N,F10,81.3054187192118,14.3255028370014
7,RdRp,C6,81.0098522167488,11.0510920760157
7,RdRp,D6,80.9113300492611,11.2072461590776
